No.64, R2: 0.621138, MSE: 0.118731, MAE: 0.270841, EV: 0.627492 {'colsample_bytree': 0.6925832088709316, 'gamma': 0.32900777218254806, 'learning_rate': 0.4855969334108868, 'max_depth': 6.0, 'min_child_weight': 1.4209006554296486, 'n_estimators': 192.0, 'subsample': 0.7311802931862347}
No.65, R2: 0.573388, MSE: 0.133695, MAE: 0.287271, EV: 0.600821 {'colsample_bytree': 0.6978870217873191, 'gamma': 0.31114227670824446, 'learning_rate': 0.4845411562528522, 'max_depth': 8.0, 'min_child_weight': 1.4239928695572521, 'n_estimators': 186.0, 'subsample': 0.7439764268188613}
No.66, R2: 0.784532, MSE: 0.067525, MAE: 0.205176, EV: 0.785944 {'colsample_bytree': 0.6918704013079519, 'gamma': 0.32106196362360473, 'learning_rate': 0.4825832283013492, 'max_depth': 8.0, 'min_child_weight': 1.4390821661654045, 'n_estimators': 188.0, 'subsample': 0.7266146166866309}
No.67, R2: 0.576548, MSE: 0.132705, MAE: 0.273997, EV: 0.603109 {'colsample_bytree': 0.6923628750281995, 'gamma': 0.3252077942177706, 'learning_rate': 0.48356222063581483, 'max_depth': 8.0, 'min_child_weight': 1.4380997006948353, 'n_estimators': 188.0, 'subsample': 0.7330418676041641}
No.68, R2: 0.717805, MSE: 0.088437, MAE: 0.240446, EV: 0.722272 {'colsample_bytree': 0.6897033478892781, 'gamma': 0.3221708330193371, 'learning_rate': 0.48182978448978125, 'max_depth': 8.0, 'min_child_weight': 1.4364344281760388, 'n_estimators': 185.0, 'subsample': 0.7218004412543023}
No.69, R2: 0.703109, MSE: 0.093042, MAE: 0.248586, EV: 0.704888 {'colsample_bytree': 0.6891375746141947, 'gamma': 0.3200711722510606, 'learning_rate': 0.48699183656780587, 'max_depth': 8.0, 'min_child_weight': 1.4337172231778164, 'n_estimators': 183.0, 'subsample': 0.7252489577783687}
No.70, R2: 0.828028, MSE: 0.053894, MAE: 0.190392, EV: 0.828224 {'colsample_bytree': 0.6910817291719591, 'gamma': 0.32424447154621583, 'learning_rate': 0.4802902077336397, 'max_depth': 8.0, 'min_child_weight': 1.431119668268963, 'n_estimators': 191.0, 'subsample': 0.7272123863741409}
No.71, R2: 0.798646, MSE: 0.063102, MAE: 0.202905, EV: 0.799001 {'colsample_bytree': 0.6903711507184737, 'gamma': 0.32721121472952325, 'learning_rate': 0.47618670694068976, 'max_depth': 8.0, 'min_child_weight': 1.4274414743283363, 'n_estimators': 190.0, 'subsample': 0.7288989818569053}
No.72, R2: 0.724564, MSE: 0.086319, MAE: 0.251294, EV: 0.726704 {'colsample_bytree': 0.6874581343389178, 'gamma': 0.3258154434552609, 'learning_rate': 0.4847388077162159, 'max_depth': 8.0, 'min_child_weight': 1.4378952145044097, 'n_estimators': 187.0, 'subsample': 0.7237262253387008}
No.73, R2: 0.637212, MSE: 0.113694, MAE: 0.275268, EV: 0.651118 {'colsample_bytree': 0.6866023212960117, 'gamma': 0.31762670893722844, 'learning_rate': 0.48402403675603534, 'max_depth': 8.0, 'min_child_weight': 1.4281846204479622, 'n_estimators': 189.0, 'subsample': 0.7295754818411114}
No.74, R2: 0.767826, MSE: 0.072761, MAE: 0.238373, EV: 0.788176 {'colsample_bytree': 0.6850195422811884, 'gamma': 0.32338616605475234, 'learning_rate': 0.4831599181512524, 'max_depth': 8.0, 'min_child_weight': 1.4269012688897644, 'n_estimators': 194.0, 'subsample': 0.7202503512029957}
No.75, R2: 0.782823, MSE: 0.068061, MAE: 0.219923, EV: 0.785194 {'colsample_bytree': 0.6884727142369907, 'gamma': 0.3164349805195255, 'learning_rate': 0.4793398334750407, 'max_depth': 8.0, 'min_child_weight': 1.4353971540841721, 'n_estimators': 186.0, 'subsample': 0.7252258006715705}
No.76, R2: 0.775646, MSE: 0.070310, MAE: 0.209625, EV: 0.776802 {'colsample_bytree': 0.6939225796141167, 'gamma': 0.3292536926597579, 'learning_rate': 0.4808874938757369, 'max_depth': 7.0, 'min_child_weight': 1.4324284398019076, 'n_estimators': 188.0, 'subsample': 0.7285114713087759}
No.77, R2: 0.687911, MSE: 0.097805, MAE: 0.265897, EV: 0.697256 {'colsample_bytree': 0.694666841856482, 'gamma': 0.3194177809302673, 'learning_rate': 0.4860544247894081, 'max_depth': 8.0, 'min_child_weight': 1.4263452306925772, 'n_estimators': 190.0, 'subsample': 0.7301997597780713}
No.78, R2: 0.672439, MSE: 0.102654, MAE: 0.260231, EV: 0.695806 {'colsample_bytree': 0.6855573172795598, 'gamma': 0.328011941706219, 'learning_rate': 0.4779700128411952, 'max_depth': 8.0, 'min_child_weight': 1.4354796703373882, 'n_estimators': 193.0, 'subsample': 0.7262931316635011}
No.79, R2: 0.575232, MSE: 0.133118, MAE: 0.286106, EV: 0.609665 {'colsample_bytree': 0.6929126636444112, 'gamma': 0.32986926910672565, 'learning_rate': 0.4824284718701511, 'max_depth': 8.0, 'min_child_weight': 1.43970277878411, 'n_estimators': 189.0, 'subsample': 0.731662657709802}
No.80, R2: 0.784868, MSE: 0.067420, MAE: 0.203882, EV: 0.787028 {'colsample_bytree': 0.691654390836096, 'gamma': 0.3267199931685547, 'learning_rate': 0.4878149478724948, 'max_depth': 7.0, 'min_child_weight': 1.4250966899386903, 'n_estimators': 191.0, 'subsample': 0.7329372524005218}
No.81, R2: 0.624889, MSE: 0.117556, MAE: 0.281629, EV: 0.642014 {'colsample_bytree': 0.6956999121587017, 'gamma': 0.32198879755393817, 'learning_rate': 0.479966544734776, 'max_depth': 8.0, 'min_child_weight': 1.4225120270932865, 'n_estimators': 185.0, 'subsample': 0.7361647725712641}
No.82, R2: 0.776134, MSE: 0.070157, MAE: 0.219719, EV: 0.778734 {'colsample_bytree': 0.6970230284221339, 'gamma': 0.31831350076492143, 'learning_rate': 0.4849644627540429, 'max_depth': 7.0, 'min_child_weight': 1.428164766472171, 'n_estimators': 183.0, 'subsample': 0.7233259562129678}
No.83, R2: 0.729938, MSE: 0.084634, MAE: 0.237246, EV: 0.734402 {'colsample_bytree': 0.6907474844188995, 'gamma': 0.32537447612431913, 'learning_rate': 0.4818060588244487, 'max_depth': 8.0, 'min_child_weight': 1.4292869046488044, 'n_estimators': 192.0, 'subsample': 0.7246529524492558}
No.84, R2: 0.740210, MSE: 0.081415, MAE: 0.236604, EV: 0.761422 {'colsample_bytree': 0.6880124154348957, 'gamma': 0.32097100872939577, 'learning_rate': 0.4785719460015338, 'max_depth': 7.0, 'min_child_weight': 1.4207395115816706, 'n_estimators': 187.0, 'subsample': 0.7343418329940619}
No.85, R2: 0.673991, MSE: 0.102168, MAE: 0.263098, EV: 0.680400 {'colsample_bytree': 0.6900096597438178, 'gamma': 0.3282843125985428, 'learning_rate': 0.4813808778884196, 'max_depth': 6.0, 'min_child_weight': 1.4339102769613388, 'n_estimators': 194.0, 'subsample': 0.7209473802656604}
No.86, R2: 0.771856, MSE: 0.071498, MAE: 0.203098, EV: 0.772204 {'colsample_bytree': 0.6967342296724683, 'gamma': 0.3228107007212345, 'learning_rate': 0.4899900711228533, 'max_depth': 8.0, 'min_child_weight': 1.430382975448232, 'n_estimators': 184.0, 'subsample': 0.7218287508429624}
No.87, R2: 0.689562, MSE: 0.097288, MAE: 0.253141, EV: 0.728484 {'colsample_bytree': 0.6893901794109192, 'gamma': 0.3088150645276276, 'learning_rate': 0.47482417964144813, 'max_depth': 7.0, 'min_child_weight': 1.4330585090997077, 'n_estimators': 187.0, 'subsample': 0.7278603167188943}
No.88, R2: 0.681736, MSE: 0.099740, MAE: 0.276301, EV: 0.696458 {'colsample_bytree': 0.6920658667380695, 'gamma': 0.3147596055493831, 'learning_rate': 0.4836030749948791, 'max_depth': 8.0, 'min_child_weight': 1.4247139177082857, 'n_estimators': 196.0, 'subsample': 0.7311337500700485}
No.89, R2: 0.709434, MSE: 0.091060, MAE: 0.246174, EV: 0.720895 {'colsample_bytree': 0.694475569464909, 'gamma': 0.31326539124655295, 'learning_rate': 0.47176767039967366, 'max_depth': 6.0, 'min_child_weight': 1.4237494510845023, 'n_estimators': 188.0, 'subsample': 0.7273388829058516}
